time,wind_speed_10m,temperature_2m,cloud_cover,relative_humidity_2m,surface_pressure,apparent_temperature,precipitation,vapour_pressure_deficit
2021-01-09 18:00:00,15.542662,18.95,100.0,83.54224,1017.1907,18.786093,0.4,0.3606149
2021-01-09 19:00:00,14.982228,18.05,100.0,84.24534,1017.78595,17.670662,0.9,0.32633173
2021-01-09 20:00:00,11.966954,18.25,100.0,82.13245,1018.38586,18.233028,0.1,0.3747729
2021-01-09 21:00:00,12.313894,18.5,100.0,81.900444,1018.487,18.509575,0.1,0.38562214
2021-01-09 22:00:00,10.703569,18.35,100.0,83.47284,1018.3866,18.653011,0.1,0.34882784
2021-01-09 23:00:00,10.97262,18.2,100.0,83.99238,1017.8865,18.444286,0.1,0.33470356
2021-01-10 00:00:00,10.685391,18.0,100.0,84.23976,1017.58594,18.227907,0.0,0.3254254
2021-01-10 01:00:00,12.387348,17.85,100.0,83.95284,1017.08594,17.752726,0.0,0.32824636
2021-01-10 02:00:00,12.181624,17.75,100.0,84.48307,1016.3862,17.682772,0.0,0.3154111
2021-01-10 03:00:00,12.387348,17.75,100.0,84.48307,1016.2863,17.652771,0.1,0.3154111
2021-01-10 04:00:00,12.979984,17.7,100.0,84.74959,1016.18646,17.516369,0.1,0.3090198
2021-01-10 05:00:00,14.480773,17.7,100.0,85.02236,1016.586,17.316683,0.1,0.30349147
2021-01-10 06:00:00,14.84318,17.85,100.0,84.49403,1017.08594,17.432999,0.1,0.31717396
2021-01-10 07:00:00,18.947083,18.0,100.0,80.26946,1017.6858,16.738586,0.0,0.40742612
2021-01-10 08:00:00,16.299694,18.15,100.0,80.80907,1018.5854,17.368086,0.1,0.4000249
2021-01-10 09:00:00,14.277983,18.85,100.0,79.104836,1019.18774,18.495708,0.1,0.4550296
2021-01-10 10:00:00,15.273505,19.2,100.0,79.15468,1019.2891,18.836126,0.1,0.46393824
2021-01-10 11:00:00,17.654688,19.7,100.0,77.970024,1018.89197,19.087227,0.1,0.5057546
2021-01-10 12:00:00,20.767975,19.75,100.0,77.977455,1018.09326,18.703068,0.1,0.50715053
2021-01-10 13:00:00,21.175837,19.75,100.0,77.72852,1016.7949,18.623695,0.1,0.51288474
2021-01-10 14:00:00,20.46941,19.6,100.0,78.45552,1015.6954,18.576803,0.0,0.491552
2021-01-10 15:00:00,21.980644,19.55,100.0,77.9477,1015.29584,18.247095,0.1,0.5015857
2021-01-10 16:00:00,22.66857,19.15,100.0,78.894226,1015.3939,17.668636,0.1,0.46827877
2021-01-10 17:00:00,20.767975,18.95,100.0,79.11909,1015.89233,17.687721,0.1,0.45755982
2021-01-10 18:00:00,19.586119,18.7,100.0,80.36438,1016.59045,17.610203,0.2,0.4236138
2021-01-10 19:00:00,13.513193,18.3,100.0,79.02621,1017.48737,17.849483,0.2,0.44132257
2021-01-10 20:00:00,11.457958,18.25,99.0,78.25706,1017.9863,18.025177,0.0,0.45608115
2021-01-10 21:00:00,11.019764,18.2,86.0,78.50299,1018.1861,18.039104,0.0,0.44951153
2021-01-10 22:00:00,11.183201,17.8,98.0,81.812065,1017.88464,17.708143,0.0,0.3708799
2021-01-10 23:00:00,12.287555,17.7,100.0,81.53572,1018.08405,17.39136,0.0,0.37415707
2021-01-11 00:00:00,13.896187,17.75,100.0,80.75586,1017.6846,17.16982,0.0,0.391191
2021-01-11 01:00:00,16.548256,17.9,100.0,80.77586,1017.38556,16.98846,0.0,0.39448404
2021-01-11 02:00:00,17.057314,17.85,100.0,80.769196,1016.8862,16.845703,0.0,0.39338362
2021-01-11 03:00:00,16.299694,17.9,100.0,81.298805,1016.8862,17.061945,0.0,0.38375068
2021-01-11 04:00:00,16.055355,17.85,100.0,82.08256,1017.1858,17.08505,0.1,0.36651134
2021-01-11 05:00:00,16.563911,17.95,100.0,82.625305,1017.4858,17.18638,0.1,0.35764515
2021-01-11 06:00:00,17.339897,18.1,100.0,82.90953,1018.585,17.299545,0.1,0.35511792
2021-01-11 07:00:00,20.111729,17.95,100.0,81.305275,1019.38336,16.574701,0.2,0.38482308
